,date,market-price,difficulty,total-bitcoins,blocks-size,market-cap,open,high,low,close,volume,Number of Trades,TB Base Volume,close_nextday
0,2018-05-24,7511.91,4219142059012.62,17051050.0,169660.765346,128573442525.0,7501.95,7730.73,7266.99,7575.01,37845.446595,253694,19012.981252,7457.0
1,2018-05-25,7576.78,4306949573981.0,17053275.0,169763.80447,129408777337.5,7578.99,7649.55,7308.15,7457.0,26739.95664,239025,13830.870235,7333.96
2,2018-05-26,7465.12,4306949573981.0,17055487.5,169874.399246,126304412681.25,7456.99,7620.0,7300.0,7333.96,19464.086071,212344,10377.955643,7338.99
3,2018-05-27,7334.71,4306949573981.0,17057712.5,169952.989056,124551253030.704,7334.0,7400.0,7231.11,7338.99,18706.945515,198341,10258.276953,7099.0
4,2018-05-28,7344.56,4306949573981.0,17059937.5,170026.319757,123496887562.5,7338.99,7437.0,7058.02,7099.0,27219.438963,233392,14409.48781,7461.29
5,2018-05-29,7106.06,4306949573981.0,17062162.5,170137.920977,127130172787.5,7099.0,7540.0,7032.95,7461.29,39407.21183,237359,21855.93031,7375.96
6,2018-05-30,7457.02,4306949573981.0,17064375.0,170253.738107,124851499687.5,7467.98,7569.0,7260.5,7375.96,32041.583623,242079,17205.948916,7485.01
7,2018-05-31,7386.72,4306949573981.0,17066600.0,170362.656132,128810367588.092,7382.07,7699.0,7327.51,7485.01,30776.063102,274399,17009.013231,7521.01
8,2018-06-01,7489.66,4306949573981.0,17068825.0,170482.888342,126932317112.5,7485.01,7608.55,7355.54,7521.01,28259.124078,303069,15701.205431,7714.26
9,2018-06-03,7637.14,4306949573981.0,17071037.5,170697.252526,130362977868.75,7636.81,7786.69,7600.0,7714.26,27505.158951,349636,15760.910668,7487.0
10,2018-06-04,7713.85,4306949573981.0,17073275.0,170823.051292,131250801562.5,7714.26,7760.52,7446.5,7487.0,32258.835115,307003,17730.335818,7625.0
11,2018-06-05,7495.47,4415593341673.57,17075487.5,171016.169192,127938090093.75,7487.0,7679.49,7358.0,7625.0,31722.973384,236865,17315.688399,7658.84
12,2018-06-06,7619.43,4940704885521.0,17077700.0,171164.723735,129995452400.0,7626.64,7699.0,7467.05,7658.84,27229.991898,257573,15071.587869,7691.08
13,2018-06-07,7653.96,4940704885521.0,17079925.0,171310.528395,131652061900.0,7658.79,7765.0,7620.0,7691.08,25062.227202,244186,14415.555201,7603.44
14,2018-06-08,7687.37,4940704885521.0,17082150.0,171465.353152,129004396800.0,7691.08,7703.5,7531.0,7603.44,23396.804671,321734,13038.958337,7491.73
